musteri_id,ad,sehir,kayit_tarihi,segment
1,Buse Demir,Antalya,2022-05-04,bireysel
2,Fatma Yılmaz,Trabzon,2022-07-12,bireysel
3,Ayşe Şahin,Bursa,2022-07-26,bireysel
4,Fatma Kaya,İzmir,2022-04-25,bireysel
5,Gizem Öztürk,Konya,2021-10-06,bireysel
6,Elif Şahin,Gaziantep,2022-08-23,bireysel
7,Kerem Aydın,Konya,2024-04-25,kurumsal
8,Onur Aydın,İzmir,2021-08-01,bireysel
9,Ece Arslan,Ankara,2024-10-22,kurumsal
10,Fatma Koç,Bursa,2021-10-26,bireysel
11,Elif Öztürk,Konya,2021-02-12,kurumsal
12,Fatma Demir,Konya,2022-11-20,kurumsal
13,Deniz Aydın,Gaziantep,2021-07-23,kurumsal
14,Kerem Doğan,Antalya,2022-10-05,kurumsal
15,Burak Aydın,Gaziantep,2021-11-21,kurumsal
16,Mert Çelik,Bursa,2021-12-17,kurumsal
17,Mert Çelik,Gaziantep,2022-10-16,bireysel
18,Ece Çelik,Trabzon,2022-06-22,bireysel
19,Kerem Yılmaz,Ankara,2023-04-26,bireysel
20,Mert Çelik,Gaziantep,2022-06-05,bireysel
21,Mehmet Aydın,İstanbul,2023-05-16,bireysel
22,Onur Arslan,İzmir,2021-08-09,kurumsal
23,Ozan Öztürk,Adana,2024-01-24,kurumsal
24,Buse Şahin,Ankara,2022-12-20,bireysel
25,Gizem Öztürk,İzmir,2021-08-18,bireysel
26,Deniz Çelik,Bursa,2021-11-21,bireysel
27,Ayşe Arslan,Trabzon,2022-07-28,bireysel
28,Tolga Yılmaz,Konya,2022-08-11,kurumsal
29,Can Koç,Konya,2021-01-03,kurumsal
30,Deniz Doğan,Eskişehir,2023-03-13,bireysel
31,Zeynep Demir,Adana,2022-04-20,bireysel
32,Ayşe Çelik,Gaziantep,2023-02-17,bireysel
33,Buse Koç,Adana,2021-12-01,kurumsal
34,Can Şahin,Gaziantep,2022-02-06,kurumsal
35,Burak Kaya,Eskişehir,2022-10-13,kurumsal
36,Ayşe Doğan,Trabzon,2021-11-15,bireysel
37,Fatma Koç,Trabzon,2023-08-10,kurumsal
38,İrem Arslan,Bursa,2023-03-13,bireysel
39,Burak Çelik,Adana,2021-02-01,bireysel
40,Burak Kaya,İzmir,2022-10-15,kurumsal
41,Ece Aydın,Adana,2022-01-22,bireysel
42,Emre Kaya,İzmir,2023-11-16,kurumsal
43,Tolga Koç,Ankara,2023-02-20,bireysel
44,Deniz Arslan,Konya,2022-08-10,kurumsal
45,Emre Çelik,Gaziantep,2023-03-25,kurumsal
46,Buse Koç,İzmir,2021-08-09,bireysel
47,Tolga Öztürk,Trabzon,2024-04-03,bireysel
48,Gizem Arslan,Adana,2021-09-21,bireysel
49,Mert Çelik,Antalya,2023-07-03,kurumsal
50,Emre Yılmaz,Eskişehir,2024-01-03,bireysel
51,Ece Çelik,Bursa,2022-12-14,bireysel
52,Can Koç,Trabzon,2021-08-15,bireysel
53,Zeynep Çelik,İzmir,2021-06-20,bireysel
54,Ali Demir,Eskişehir,2024-06-05,bireysel
55,Ece Şahin,Ankara,2024-04-05,bireysel
56,Elif Koç,Trabzon,2022-05-23,bireysel
57,Ozan Öztürk,Bursa,2024-07-04,bireysel
58,İrem Kaya,Gaziantep,2023-05-22,kurumsal
59,Ali Arslan,Gaziantep,2024-04-01,bireysel
60,Kerem Kaya,Antalya,2023-09-20,bireysel
61,Ali Koç,Antalya,2023-02-18,kurumsal
62,Mehmet Koç,Antalya,2023-10-09,kurumsal
63,Emre Doğan,Adana,2022-11-04,bireysel
64,Seda Koç,Ankara,2024-10-23,bireysel
65,Emre Şahin,Bursa,2021-02-26,bireysel
66,Tolga Çelik,Eskişehir,2021-04-17,kurumsal
67,Gizem Koç,Ankara,2024-11-19,bireysel
68,Mert Öztürk,Gaziantep,2024-05-24,kurumsal
69,Fatma Doğan,Konya,2022-03-07,bireysel
70,Fatma Arslan,İstanbul,2023-01-17,bireysel
71,Gizem Öztürk,Bursa,2023-09-26,kurumsal
72,Ali Öztürk,Adana,2021-01-15,bireysel
73,Fatma Arslan,Adana,2024-05-25,bireysel
74,Deniz Kaya,Konya,2024-12-26,bireysel
75,Onur Arslan,Eskişehir,2022-06-21,bireysel
76,Fatma Öztürk,Antalya,2023-12-05,bireysel
77,Gizem Şahin,Gaziantep,2024-04-04,kurumsal
78,Fatma Çelik,Eskişehir,2023-12-28,bireysel
79,Ece Koç,Gaziantep,2024-07-11,kurumsal
80,Seda Demir,Eskişehir,2024-05-04,kurumsal
